J       CT       CP       eta
0.186   0.0884   0.0412   0.398
0.211   0.0864   0.0414   0.439
0.245   0.0841   0.0419   0.492
0.276   0.0813   0.0420   0.534
0.306   0.0783   0.0420   0.570
0.335   0.0752   0.0419   0.601
0.364   0.0719   0.0418   0.628
0.400   0.0671   0.0411   0.653
0.429   0.0627   0.0403   0.667
0.457   0.0578   0.0390   0.676
0.482   0.0525   0.0373   0.678
0.522   0.0422   0.0331   0.665
0.545   0.0368   0.0307   0.655
0.577   0.0292   0.0267   0.629
0.601   0.0246   0.0245   0.604
